,job_title,company,location,compensation,desc,Seniority level,Employment type,Job function,Industries
129,Cloud Architect,Remote Worker,"London, England, United Kingdom",N/A,,,,,
130,Project Architect,Actalent,"Boston, MA",N/A,"*Description:*  Must Haves: 7-10+ years of experience in an Architecture firm Proficiency in Revit Ability to oversee the production team and manage the entire process Experience overseeing all phases of design Experience interacting with clients and managing those relationships Experience with S+T, Higher Ed, or Corporate projects is a plus Education/Certs: Bachelor's Degree License preferred Skills:*  Architecture, revit, construction documents, production, construction administration, project management, autocad Top Skills Details:*  Architecture,revit,construction documents,production,construction administration,project management Additional Skills & Qualifications:*  Responsible for finished plans, specifications, or approval of materials and construction. May supervise a small staff of architects. Applies sound and diverse knowledge of architecture principles and practices in broad array of assignments and related fields. Acts independently regarding architectural methods and complexities. Requires use of advanced techniques and modification/extension of theories, precepts, and practices of individual’s field.  Supervision and guidance mainly concern overall objectives, critical issues, new concepts, and policy matters. Assists the Project Manager with day-to-day project coordination. Oversee the performance of individual team members in fulfilling their assigned tasks. Has ability to coordinate multiple projects at one time.  Provides leadership to in-house project team by coordinating and motivating members of the design team, provides effective problem solving in addressing project challenges by providing solutions that are consistent with the service philosophy of the firm and the goals of the project. Must be able to thoroughly document site conditions and fulfill key tasks at the beginning of a project, such as acquiring available existing data, photographs, etc. Must be able to prepare meeting minutes, document site visits and maintain client and project files. Must be capable of adding value to the development of design studies and must possess an understanding of design intent to enhance the consistency and quality of design as technical issues are resolved.  Must have the ability to put together a complete set of construction documents and develop details for project components as assigned.  Has ability to administer construction administration services under the direction, and in coordination with Construction Administrator.  Has knowledge to review and approve shop drawings. Experience Level:*  Expert Level  About Actalent:  Actalent connects passion with purpose. Our scalable talent solutions and services capabilities drive value and results and provide the expertise to help our customers achieve more. Every day, our experts around the globe are making an impact. We’re supporting critical initiatives in engineering and sciences that advance how companies serve the world. Actalent promotes consultant care and engagement through experiences that enable continuous development. Our people are the difference. Actalent is an operating company of Allegis Group, the global leader in talent solutions. The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",Associate,Full-time,"Design, Art/Creative, and Information Technology",IT Services and IT Consulting
131,Lead Data Scientist,Remote Worker,"Leeds, England, United Kingdom",N/A,"Lead Data Scientist- Remote, Leeds - £70,000 - £90,000 + Benefits ApplauseIT are looking for a Lead Data Scientist to join a multi-billion-pound e-commerce retail organisation and take control of a complete blank canvas to progress the organisation further through data science. You will spearhead key features and core capabilities to unlock next level growth.In this Lead Data Scientist role you wiAll potential applicants are encouraged to scroll through and read the complete job description before applying.Please click on the apply button to read the full job description",Associate,Full-time,Engineering and Information Technology,Staffing and Recruiting
132,Senior Consultant - Information Management - Data Risk & Analytics,Turing Talent,"London, England, United Kingdom",N/A,,,,,
133,Senior Java/ AWS Engineer,Jobot,"Pittsburgh, PA",N/A,"A globally-recognized organization known for their revenue-generating data insight software is looking for a Backend Java Engineer to help roll out a ton of new feature development - Fully REMOTE!  This Jobot Job is hosted by Kaylee Mallory  Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume.  Salary $120,000 - $180,000 per year  A Bit About Us  A globally-recognized organization known for their data-driven platform that better helps brands to gain insight from consumer data and go the distance with their digital capabilities. Their looking for a Backend Java Engineer to help drive new feature development for their data injection engine.    Why join us?  Healthcare benefits Competitive compensation Unlimited PTO 401k with match Fully remote Job Details 5+ years of relevant work experience (Open to Senior or Staff-level) For Staff level, must have at least 1 year of experience leading a team of developers Experience working with Java, Spring Boot, and AWS Kubernetes and Kotlin experience is a plus! Interested in hearing more? Easy Apply now by clicking the ""Apply"" button. ",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Software Development
134,Senior Lease Administrator,Gough Recruitment,"Sydney, New South Wales, Australia",N/A,"Category : Leasing  Work Type : Permanent / Full Time  Location : Sydney Work for a diversified Australian REIT Career progression assured CBD based with flexible work arrangements  The Company:  Our client is a diversified Australian REIT with a diversified investment portfolio of Commercial, Retail and Self-Storage properties.  The Role:  An opportunity has come up for an experienced Retail Lease Administrator to join their team. The role will see you responsible for the timely and accurate production and execution of leases and related documents.  Responsibilities include: Support the Leasing team with negotiations Manage the lease document process, from letter of offer to a tenant occupying stage Co-ordinate the completion of the lease contract between the tenant, solicitor, and team Update and maintain lease data such as Public Liability Insurance details, security documentation information, and important key dates Provide support to team, solicitors, and tenants as and when required Identify opportunities to drive improvements and maximise the efficiency of lease administration processes and reporting and document turnarounds  The Ideal Candidate: Tertiary qualification in a Property, Accounts, or related discipline Knowledge of the RLA is required Highly communicative and very effective interpersonal skills Self-starting with an ownership and achievement-oriented approach Ability to work autonomously and collaboratively within a team working environment  The Benefits: Attractive remuneration package WFH flexibility CBD based Career progression assured Interstate travel may be required Longstanding team, great culture  For more information contact Naomeon 0416 164 000 or email your updated CV to nchbib@goughrecruitment.com.au  Not looking yourself but know someone right for the role?  Refer a friend & receive a referral fee – ask me how!  Please note that due to high application volumes, only short-listed candidates will be contacted. Only Australian permanent residents are eligible to apply.",Associate,Contract,Sales and Management,Staffing and Recruiting
135,Tax Technology Manager - Remote (Europe),Remote Worker,"Cambridge, England, United Kingdom",N/A,,,,,
136,Substation Engineer,Actalent,"Juno Beach, FL",N/A,"Description:* This position is responsible for the substation engineering for Wind, Solar, Battery Energy Storage and stand-alone substation projects. The Substation Engineering Lead is responsible for all assigned substation projects from conception (Early Stage) through construction and commissioning (Execution). In the conceptual phase, the Substation Engineering Lead works with the Early Stage Project Manager to support the engineering requirements and scope with the Development Group.  Projects can begin as FERC 1000 competitive transmission project proposals, or as greenfield projects for our clients affiliates Role requires training, due diligence and technical oversight of external engineers of record (EOR) for all assigned substation projects to ensure compliance with required generation interconnection agreements, scope of work documents, project specifications, site specific design requirements, IEEE, NESC, ASCE and all other applicable industry codes and standards including and facility rating documentation and corporate safety goals. The position will secure engineering consulting resources from a list of approved suppliers by developing a scope of work, securing bids, evaluating, and awarding work through our clients Integrated Supply Chain (ISC) Group. The position must coordinate with other project stakeholders to develop and secure a substation site, support any engineering updates, data and permits necessary to design and build the substation. Common activities include competitively sourcing, selecting and contracting geotechnical, survey, engineering, and construction services, and supporting the E&C Cost Estimating Team with scope assumptions. The position is responsible for coordinating the engineering deliverables in support of our clients Transmission FERC Order 1000 competitive request for proposals, as well as the design and construction of awarded projects.  Deliverables include Scope of work documents, Issued for Bid, Issued for Procurement, Issued for Construction, design criteria and As-built drawings. Generally responsible for representing E&C’s internal and external interests on assigned projects, including presentations/briefing on current progress, issues, and risk mitigation in meetings with various levels of management. Employee in this role will support early stage design through commissioning for assigned projects by reviewing EOR drawings and organizing design reviews, supporting vendor product procurement, bid evaluations and contract oversight, material vendor contract support, field construction support and general problem solving. Support Transmission Services during review of interconnection documentation including system impact studies, facility studies, reactive and harmonic studies and Interconnection agreements and ensures that Transmission Owner requirements and E&C engineering design are consistent and in compliance with all ISO requirements and incorporated into the project design. Must be able to work with and communicate often to the respective transmission owners/operators/ISOs to ensure project deliverables will meet specific off-taker requirements, are timely and accurate. Manage all project long lead major material orders to minimize risk of delays or exceeding the project budget. Assists ISC with all substation project SOW creation, review, approval, and preparation of shopping carts for engineering services and materials in a timely manner. Supports E&C Estimating with template update via project feedback, technical support, and scope modifications. Works collaboratively with project engineering resources in various disciplines to determine project priorities, work plans and lines of demarcation. Ensures projects are efficiently, cost effectively and safely implemented in accordance with department process, procedures, industry standards and policies. Supports assigned project constructability reviews and resolves lessons learned issues as needed. Supports assigned project commissioning activities to meet corporate objectives. Support Legal in any regulatory filings, depositions and/or hearings. Collaborate with component OEMs to enhance/adapt their designs to better integrate with our clients philosophies. *Skills & Qualifications:* Bachelor’s degree in Electrical, Mechanical or Civil/Structural Engineering. Experience: 5+ years in Substation design and engineering of High Voltage substation projects. The ideal candidate must have a strong knowledge of substation design, excellent communication and project management skills, a bias for action, proven analytical and problem-solving skills, and an ability to provide value engineering and ensure design quality. The position requires technical competence such as the ability to understand one line and three-line diagrams, general arrangements, plan and profiles, NERC CIP requirements, Protection and Control, SCADA, telecom, facility ratings documentation and other common deliverables.  About Actalent:  Actalent connects passion with purpose. Our scalable talent solutions and services capabilities drive value and results and provide the expertise to help our customers achieve more. Every day, our experts around the globe are making an impact. We’re supporting critical initiatives in engineering and sciences that advance how companies serve the world. Actalent promotes consultant care and engagement through experiences that enable continuous development. Our people are the difference. Actalent is an operating company of Allegis Group, the global leader in talent solutions. The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",Entry level,Contract,Engineering and Information Technology,IT Services and IT Consulting
137,Portland Data Science Tutor,"Varsity Tutors, a Nerdy Company","Portland, OR",N/A,"Portland Data Science Tutor Jobs  The Varsity Tutors platform has thousands of students looking for online Data Science tutors nationally and in Portland. As a tutor who uses the Varsity Tutors platform, you can earn good money, choose your own hours, and truly make a difference in the lives of your students.  Why join our platform? Enjoy competitive rates and get paid 2x per week. Choose to tutor as much or as little as you want. Set your own hours and schedule. Get paired with students best-suited to your teaching style and preferences (from thousands of potential clients). Tutor online (i.e. “work remotely”) using our purpose-built Live Learning Platform. Students can take adaptive assessments through the platform and share results to help you decide where to focus. We collect payment from the customers, so all you have to do is invoice the session. What We Look For In a Tutor You have excellent communication skills and a friendly, approachable personality. You can show subject-matter expertise in Data Science. You have the ability to personalize lessons for each student. Discover all the ways you can reach students through the online platform: 1-on-1 Online Tutoring: connect with an individual student for a highly personalized learning experience. Small Group Classes: meet with small groups (typically 7-9 students) for a more collaborative learning experience. VT+ Classes: teach groups of 25-30 students anything from math fundamentals to video game design. Large Live Classes: share your knowledge with hundreds of students at a time. School@Home: provide support for homeschooling parents with 1-on-1 Online Tutoring and Small Group Classes. Instant Tutoring: accept subject specific, on-demand tutoring sessions whenever you’d like. About Varsity Tutors And 1-on-1 Online Tutoring  Our mission is to transform the way people learn. We do this by leveraging advanced technology, AI, and the latest in learning science to facilitate a personalized learning experience. With 1-on-1 Online Tutoring, individual students are connected with tutors for a highly personalized learning experience. We believe our thoughtful approach to matching students with the right tutors can improve outcomes, and we look forward to connecting you with students hungry to learn.  Please note: Varsity Tutors does not contract in: Alaska, California, Delaware, Hawaii, Maine, New Hampshire, North Dakota, Vermont, West Virginia or Puerto Rico.",Entry level,Full-time,Education and Training,Internet Publishing
138,Microservice Engineer,Reply,"Rome, Latium, Italy",N/A,"We are Reply, the digital consulting Company. What about you? We are looking for a Microservice Engineer.  WHAT THE JOB IS ABOUT Application Development. You will design and develop scalable and resilient applications based on microservices architectures in multiple area of integration (multichannel solutions, full responsive web Application, mobile applications, large and complex backend systems). Software Delivery. You will deliver high-quality software that fulfills both functional and non-functional requirements. Independence and Responsibilities. You will contribute to the whole development lifecycle, from planning to implementation and testing (analysis, design, development, testing and Quality Assurance, release management, continuous integration and delivery).  WHAT WE NEED Academic backbone. With a Bachelor's or Master's degree in Computer Science or Computer Engineering. Valuable Expertise. At least 3 years experience as a microservices developer based on Java. Solid knowledge of software engineering principles, algorithms, data structures, and Object-Oriented Design and experience in solving and troubleshooting highly complex technical problems. Comfortable with Agile development environments and practices, linked with ability to directly interact with customer stakeholders and collaborate with others.  WHO WE ARE Reply is specialized in the implementation of solutions based on new communication and digital media. Reply, consisting of a network of specialized companies, assists important European industries belonging to Telco & Media, Manufacturing & Retail, Bank & Insurances and Public Administration sectors, in defining and developing new business models utilizing Big Data, Cloud Computing, CRM, Mobile, Social Media and Internet of Things paradigms. Reply offers consulting, system integration, application management and business process outsourcing.  WHY US We have a start-up heart. Hundreds of small units with their own projects and teams. Guaranteed hands-on experience, flexibility, table footballs and free coffee. But we dream worldwide. We have the structure to make your ideas matter. We partner with major groups over 4 continents and 15 countries. We are customers-obsessed. Excellence is in our DNA. We strive for the best. We get our hands dirty. We get results. We are learning. We at Reply are always aiming for true innovation. Even though it still may look unreal.  WHAT ARE THE NEXT STEPS The first step of our recruiting process will be the meetings with the technical referents and then a face to face interview with the HR team.",Mid-Senior level,Full-time,"Information Technology, Product Management, and Project Management","IT Services and IT Consulting, Software Development, and Computer Games"
139,Education Specialist,Detroit Zoo,"Detroit, MI",N/A,"The Education Specialist at the Belle Isle Nature Center is responsible for engaging diverse audiences by developing and facilitating programs. Programs include experiences for school groups, teachers, families, youth, community groups and guests on grounds. The Education Specialist will use inquiry and problem-based learning practices to engage guests and program participants in building a conceptual understanding of science concepts.  The Education Specialist will assist with coordinating instructors, volunteers and seasonal staff to deliver exceptional quality programs that are engaging, relevant, inspiring and interactive learning experiences to provide our audiences with the knowledge and tools to take action and create positive change within our community. They will maintain and strengthen existing organizational partnerships while exploring additional opportunities. The Education Specialist will work at the Belle Isle (Detroit, MI) location.  Principal Duties and Responsibilities Create and deliver inquiry-based and project-based learning experiences. Serve as a liaison between the DZS, guests, program participants and outside organizations to promote the Zoo's mission of celebrating and saving wildlife and wild places through education experiences. Revise current programming to reflect best practices in the educational field, including inquiry-based and project-based learning experiences. Research and develop new programs to meet departmental and organizational goals. Coordinate staff and/or volunteer educators to implement programs. Actively pursue and participate in professional development opportunities (including onsite workshops, webinars, offsite conferences, etc.). Actively engage with professional colleagues to support departmental goals and objectives. Assist in the training and coordination of staff and volunteer groups engaged in a variety of educational, interpretive or service-related activities. Operate a personal computer and utilize word processing and spreadsheet software. Analyze statistical data and figures, prepares reports and research information. Operate a motor vehicle such as a car or 12 passenger vans (May require a State of Michigan chauffer license). As assigned, assist with a variety of special events and projects. Qualifications  Education and Experience Completion of a Bachelor's degree in General Science, Education, Zoology, Biology or other closely related field OR completion of a high school diploma or GED and four years (4) of experience in an informal or formal learning institution. Minimum one-year of experience creating and delivering inquiry-based and project-based learning opportunities. Minimum one-year experience supervising participants or students. Knowledge, Skills, And Abilities General knowledge of current and future state and national curriculum standards. General knowledge of conservation strategies in captive and field conservation programs, zoology, biology and life sciences. Familiar with youth developmental stages and best pedagogical practices to meet those needs. Knowledge of audio-visual equipment and the ability to operate a personal computer and utilize word processing and spreadsheet software. Skilled in organizing and presenting information to educational groups on a variety of life science, environmental and humane education topics. Ability to communicate effectively, both orally and in writing. Ability to supervise participants/students effectively in a variety of environments Ability to interact effectively with the public, departmental personnel, volunteers and other community organizations Ability to acquire additional skills and knowledge. Requires a valid State of Michigan Driver's License Preferred Record of professional community networking experience and/or current knowledge/ties to Southeastern Michigan community organizations. Teaching certification and/or experience in a formal/informal learning. Working Conditions  Work is performed indoors in a typical office environment and frequently outdoors, with exposure to all seasonal weather conditions. Exposure to video display monitors. Frequent exposure to the public by working in the Zoo and Nature Center, the community and with partner organizations. Frequent travel throughout SE Michigan with the possibility of regional, national and/or international travel.  Physical Requirements  Able to perform essential functions of the role including reading standard text, often on video display monitors. Walking and standing for long periods of time; stooping; kneeling; and bending; lifting up to 30 pounds. Reasonable accommodations will be made to enable qualified individuals with disabilities to perform the essential functions of the job.",Entry level,Full-time,Education and Training,Retail Art Supplies
140,Full Stack Java Developer with Angular,Infosys,"Charlotte, NC",N/A,"Job Description  Infosys is seeking Full Stack Java Developer  This position’s primary responsibility will be to provide technical expertise and coordinate for day to day deliverables for the team. The chosen candidate will assist in the technical design of large business systems; builds applications, interfaces between applications, understands data security, retention, and recovery. The role holder should be able to research on technologies independently to recommend appropriate solutions & should contribute to technology-specific best practices & standards; contribute to success criteria from design through deployment, including, reliability, cost-effectiveness, performance, data integrity, maintainability and scalability; contributes expertise on significant application components, program languages, databases, operating systems, etc., and guides/mentors the team during the build and test phases.  U.S. citizens and those authorized to work in the U.S. are encouraged to apply.  Candidate can be located within commuting distance of Charlotte, NC or work remotely from anywhere within the US initially and be willing to relocate to the area within 3 months.  This position may require relocation and / or travel to project locations.  Qualifications Bachelor’s degree or foreign equivalent required from an accredited institution. Will also consider three years of progressive experience in the specialty in lieu of every year of education. Minimum 4 years of Information Technology experience. Must Have Skills Experience in J2EE technologies with Spring Boot, with Angular 6 or 8. Preferred Skills And Experiences At least 4 years of IT Industry Experience on J2EE technologies. At least 4 years of excellent experience in J2EE framework like Struts, Spring and Hibernate. Must have Full stack software development experience of designing and developing Rest APIs, and UIs using Angular 6 or 8, Java 8, Spring technologies such as Spring AOP, Spring boot, Spring Data JPA etc., Microservices technologies on public cloud platforms including debugging and optimization . Source code management tools (Git, BitBucket, and Subversion) Good leadership skills with the ability to drive change and enable applications teams to develop best-in-class applications Planning and Co-ordination skills Good Communication and Analytical skills The job entails sitting as well as working at a computer for extended periods of time. Should be able to communicate by telephone, email or face to face.  About Us  Infosys is a global leader in next-generation digital services and consulting. We enable clients in more than 50 countries to navigate their digital transformation. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.  Visit www.infosys.com to see how Infosys (NYSE: INFY) can help your enterprise navigate your next.  EOE/Minority/Female/Veteran/Disabled/Sexual Orientation/Gender Identity/National Origin",Entry level,Full-time,Engineering and Information Technology,Computer Networking Products
141,ED&A Events and Communications Intern/Co-op,TD,"Toronto, Ontario, Canada",N/A,,,,,
142,Cloud Backend Developer,Actalent,"Pleasanton, CA",N/A,"About the Client: Up and coming start up that is developing a wearable device that is intended to measure certain vitals through non invasive means. We are looking for A Backend Engineer who would be able to help us scale it for a larger number of Users. Essential Job* Functions* Deliver end-to-end features required for cloud scale, high traffic, Software as a Service backend applications. Participate in the design of database schemas for cloud backend. Participate in cloud architecture discussions and the design of microservices. Design, develop and perform unit and integration testing for features that you implement, and participate in design and code reviews for peers. Develop automated testing strategy and implement test automation. Develop test strategy and scalability testing for cloud backend services. Implement and test security features within the cloud. Mentor junior engineers and work with them closely to architect, design and implement new features. Document various aspects of the product including architecture, design, technical specifications, protocols, internal and external APIs etc. Support field trials, demos and pilots on an as needed basis. Responsible for following the company’s quality management system and all applicable regulations. Qualifications* Bachelor of Engineering in Computer Science. Minimum 7+ years of software development experience. Experience in developing cloud native software and scaling it to large number of users. Knowledge of SQL and NoSQL databases. Proficiency in Java, Python, Golang and/or C/C++ languages with at least 5 years of experience Strong understanding of object oriented design principles, modular design patterns, data structures, algorithm design, problem solving and software complexity analysis. Has strong communication, stays organized, detail oriented and able to work with remote teams.  About Actalent:  Actalent connects passion with purpose. Our scalable talent solutions and services capabilities drive value and results and provide the expertise to help our customers achieve more. Every day, our experts around the globe are making an impact. We’re supporting critical initiatives in engineering and sciences that advance how companies serve the world. Actalent promotes consultant care and engagement through experiences that enable continuous development. Our people are the difference. Actalent is an operating company of Allegis Group, the global leader in talent solutions. The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
143,Scientist Data Wildlife Drone Hub,NSW Department of Planning and Environment,"Sydney, New South Wales, Australia",N/A,"Do you want your work to make a difference for NSW?  Together, we create thriving environments, communities and economies. Scientist Data - Wildlife Drone Hub Temporary full-time opportunity until June 2024, Sydney based or other location by negotiation Salary relative to experience, and ranges from $95,516 to $105,532 + super  The Scientist Data provides advanced computer-based data processing, data management and spatial analysis that assists to deliver the NSW Wildlife Drone Hub and related projects  Work within a geographically dispersed project team and with collaborators to deliver high quality mapping, modelling and spatial data analysis and assessment to meet expected milestones and deliverables.  About You  An exciting opportunity to design and implement data management systems for data cleansing, pre-processing, data transformation, data analysis and data visualisation, using analytical tools such as Python or R.  Use your experience in Python, R, Linux, cloud computing and cloud storage to manage the Drone project data sets so they are secure, accessible and current.  Design and implement process improvements including automating manual processes, optimising data delivery, re-designing infrastructure for greater scalability.  Work closely with senior stakeholders and partners to provide timely advice and assist in identifying impacts of implementing various methodologies and processes for the delivery of science.  Essential Requirements Tertiary qualifications in Software Engineering or Computer Science.  For more information read the full Role Description: Scientist Data Wildlife Drone Hub  For more information hit Apply to visit the iworkfor.nsw.gov.au website.  About Us  The Department of Planning and Environment ’s (DPE) vision is to create thriving environments, communities and economies for the people of New South Wales. We strive to be a high-performing, world-class public service organisation that celebrates and reflects the full diversity of the community we serve and seeks to embed Aboriginal cultural awareness and knowledge throughout the department.  In our inclusive and accessible workplace, differences are embraced, contributions are valued, and everyone has a sense of connection and belonging. DPE supports various employee affinity groups, practice flexible working, offer job share and workplace adjustments. We are committed to the Premier’s Priorities and welcome applications from all.  Participation in the NSW Biodiversity Offsets Scheme (BOS) and the BCT’s private land conservation (PLC) programs  All new employees with an existing defined interest in the BOS will be required to disclose their personal (or a close family member’s) participation to ensure potential conflicts are managed appropriately. In some circumstances this may require divestment of the interest.  The BCT also has restrictions on staff participation in its funded PLC programs. No additional funding, beyond that already agreed to by the BCT, may be sought or approved during time as a BCT employee or for a 12-month period following termination of employment.  The Department is committed to protecting the public interest and public trust in the exercise of its functions. These values, together with transparency and accountability, are integral to the administration of the BOS and PLC programs.  If you (or a close family member) participate in the BOS scheme or already hold a funded agreement with the BCT and require further information before submitting your application please contact the hiring manager. The BOS protocol is available publicly here via this page .  To Apply  If excited by the information above, we look forward to receiving your application, including a copy of your resume and cover letter expressing your interest and suitability for the role. DPE expects all applicants who can be safely vaccinated for COVID-19, to be so.  Applications close Wednesday 4 May 2022 at 11:55PM.  Should you require further information about the role please contact Hiring Manager via bob.denholm@environment.nsw.gov.au or on 0413 314 596.  A recruitment pool may be created for ongoing and temporary opportunities of the same role or role type that may become available over the next 18 months.  Looking for more information or assistance in applying?  Our Diversity team can assist to: provide alternative formats to apply make adjustments to the recruitment process offer information about workplace adjustments and support networks  We encourage people with disability to apply. If you have disability and require more information on adjustments and assistance to apply, contact the Diversity team on Diversity@DPIE.nsw.gov.au (please include reference number).  If you are an Aboriginal or Torres Strait Islander check out Our Mob on Country https://www.dpie.nsw.gov.au/premiers-priorities/our-mob-on-country to see the work we do and get assistance in applying.  Find us on Facebook , Instagram , and LinkedIn .",Entry level,Full-time,"Project Management, Business Development, and Strategy/Planning",Government Administration
144,Staff Java Engineer,Jobot,"San Francisco, CA",N/A,"Direct message the job poster from Jobot Eric Emenhiser Sr. Recruiting Manager | Founding Partner | Jedi Master 👋 100% Remote - Headquartered in San Francisco - Cloud Native Fintech  This Jobot Job is hosted by Eric Emenhiser  Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume.  Salary $165,000 - $215,000 per year  A Bit About Us  Based in San Francisco, CA we are a fast-growing Fin-tech Company which is coming fresh off of Series C funding for our Cloud SaaS platform which provides intelligent data solutions and runs full-cycle business operations for Finance companies. Think of us as the one stop shop for Fortune 100 insurers in helping them launch new products, automate business reporting and customize solutions for other critical business operations.  **We have been top ranked as a Fastest growing Financial Services Software as a Service (SaaS) in the US and have a proven Founder/CEO who has been at the ground floor of Unicorn tech & other successful software companies.**  If you are a Senior, Staff or Principal Java Engineer with experience working on production code for enterprise SaaS applications, than please keep reading!    Why join us?  100% Remote Competitive Base Salary! Competitive early stage Stock Options! Accelerated Career Growth! Flexible Work Culture! Series X Pre-IPO - scaling fast & hiring 10 engineers + more in sales and marketing 6 month salary / stock option reviews (opportunity to increase either) CEO/Founder involved with another company which successfully IPO'd Job Details  Is your background a fit? Apply if you meet this criteria  Bachelor or Master's Degree in Computer Science and the following 5+ years of experience building performance SaaS & microservices solutions using Java Willingness to be at least 80% hands on coding, 20% systems optimization & architecture Expertise Platform Architecture and Microservices / Containerization tech Experience building out new features from scratch in a production setting Experience with RDBMS such as PostgreSQL, Oracle, MySQL (or similar) Knowledge or experience in building apps which run on AWS Experience in API design for new clients and 3rd party applications Methodical approach to unit testing and functional testing Desired but not required Python, C#, Golang coding skills (prod setting) Experience with containerization technologies, i.e. Docker or Kubernetes is a strong plus Proven success in working in a start-up environment Github or online portfolio to demonstrate recent projects We have our sights set on incredible success in the B2B services market, and we want you to succeed with us. You will be an integral part of our platform engineering team, spearheading new feature development for our cloud based solutions. For your important work, you will be granted a competitive base salary for the SF Bay area market, as well as stock options in a fast-growing company primed for success in a Multi-Billion dollar market.  Interested in cloud, containerization, or highly scalable enterprise app development? There's also no better place to come build your domain knowledge than right here in our offices!  Please note Applicants must be authorized to work in the U.S.  Interested in hearing more? Easy Apply now by clicking the ""Apply"" button. ",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Software Development
145,Molecular Research Scientist,Jobot,"Redwood City, CA",N/A,"IVD, RUO, Medical Device, Molecular Product Development  This Jobot Job is hosted by Andrew Duong  Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume.  Salary $100,000 - $140,000 per year  A Bit About Us  We are a Series C startup with new assay development on the horizon and we are utilizing cutting-edge molecular and automation technology to make global impact to help combat diseases & pathogens through the power of genomics. We are a seeking humble and ambitious individuals to help us achieve our goals and make great impact at scale with our work    Why join us?   We are a startup with extensive investors and a leadership board comprised of industry best executives with a guide to success for market penetration, timing has met opportunity and we're in growth mode. We offer competitive pay, excellent benefits, flexibility, great office/lab amenities including catered food each week, and equity so you'll have a piece of the pie.  Job Details  Develop novel DNA/RNA molecular assays utilizing next-generation sequencing (NGS)-based technologies  Perfect and improve efficiency in assays to achieve a high level of stability, performance, and robustness.  Perform assay verification and validation testing to ensure highest standards  Guide technical leadership for experimental design and data analysis.  Contribute to the product design, including vetting user requirements and translating requirements into design specifications for the development of high quality, customer-focused products.  Display the feasibility of new methods, and efficiently move products through pipeline up to and including transfer to manufacturing and scale-up.  Identify and mitigate product and project risks.  Contribute to both internal and customer-related troubleshooting efforts.  Document work, and create presentations to communicate progress and assist with decision making.  Conduct clear and concise communication with colleagues (cross-functional) and supervisors through oral updates, written reports, and technical meetings.  Strong individual contributor work ethic and team collaboration is a must  Interested in hearing more? Easy Apply now by clicking the ""Apply"" button. ",Mid-Senior level,Full-time,Other,Biotechnology Research
146,Clinical Research Coordinator,Actalent,"Richmond, VA",N/A,"Skills:* IRB, Regulatory, Patient Enrollment, Recruitment, EDC, Oncology, Cancer, Clinical Trials, FDA, Community Outreach, Case Report Form, CRF, Informed Consent, Cancer Center, Comprehensive, patient recruitment, data management, clinical research, clinical trial Additional Skills & Qualifications:* 2+ years of research coordination experience, ideally coming from academia at a comprehensive cancer center Independent judgment and critical-thinking skills. Discretionary decision-making skills. Ability to multitask and prioritize autonomously. Excellent written & oral communications skills. Ability to work in a fast paced, demanding environment and adapt to changing priorities. Experience Level:* Intermediate Level Description:* This position is responsible for all aspects of candidate recruitment and enrollment for clinical research trials.  On a day to day basis they'll be expected to identify patients who meet study criteria and develop an enrollment strategy to capture qualified candidates into research trials.  They'll be conducting community outreach as well to identify patients that otherwise wouldn't be found in VCU's patient population.  Once candidates have confirmed interest in enrolling in a study, Research Coordinators will create a Case Report Form and meet with the patients to provide the informed consent documents and orient patients to the trial schedule and manage expectations regarding timelines and course of therapy.  They'll work directly w/Research Nurses, PI's and Data Managers to effectively put patients through the trial.  About Actalent:  Actalent connects passion with purpose. Our scalable talent solutions and services capabilities drive value and results and provide the expertise to help our customers achieve more. Every day, our experts around the globe are making an impact. We’re supporting critical initiatives in engineering and sciences that advance how companies serve the world. Actalent promotes consultant care and engagement through experiences that enable continuous development. Our people are the difference. Actalent is an operating company of Allegis Group, the global leader in talent solutions. The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",Entry level,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
147,Senior Back-End Software Developer (Java+Kotlin),IESF Group International,"Kyiv, Kyiv City, Ukraine",N/A,,,,,
